MODEL_NAME,BATCH_SIZE,Mean Time per Sample (s),FPS,STD Time per Sample (s),Mean Energy per Sample (J),STD Energy per Sample (J),Parameters,FLOPs,GPR,Architecture,Pruning Distribution,YOUR_METRIC,Compression Ratio (Parameters) [%],Compression Ratio (FLOPs) [%],% Energy Reduction
AlexNet_DATASET_random_PD4_GPR-35_PRUNED_SEED_23.pth,64,6.81438404083252e-05,14674.840660694976,6.847870857645289e-08,0.0208296546875062,0.0003878827001153,23754090,21244544384,35,AlexNet,PD4,0.6314784384917901,61.0,54.0,24.0
AlexNet_DATASET_random_PD1_GPR-20_PRUNED_SEED_23.pth,1,0.0010672400299072,936.9963381966924,7.972331618868123e-05,0.2572252000000328,0.0201347400797675,40026038,468902342,20,AlexNet,PD1,0.3372526294108312,34.0,34.0,3.0
AlexNet_DATASET_random_PD1_GPR-20_PRUNED_SEED_23.pth,8,0.0001599002754211,6253.89792085234,5.076422097958561e-06,0.0512974750000052,0.0045174166114712,40026038,3751218736,20,AlexNet,PD1,0.3372526294108312,34.0,34.0,8.0
AlexNet_DATASET_random_PD1_GPR-20_PRUNED_SEED_23.pth,16,0.0001205290870666,8296.752463137947,1.293715378073693e-07,0.0372471500000101,0.0017313691160101,40026038,7502437472,20,AlexNet,PD1,0.3372526294108312,34.0,34.0,7.0
AlexNet_DATASET_random_PD1_GPR-20_PRUNED_SEED_23.pth,32,0.0001018814807891,9815.326517183454,8.410747545348033e-08,0.0319087999999988,0.0009871980223062,40026038,15004874944,20,AlexNet,PD1,0.3372526294108312,34.0,34.0,6.0
AlexNet_DATASET_random_PD1_GPR-20_PRUNED_SEED_23.pth,64,8.430613288879394e-05,11861.533268511728,5.357113240918599e-08,0.0261781000000017,7.261286628747535e-05,40026038,30009749888,20,AlexNet,PD1,0.3372526294108312,34.0,34.0,4.0
AlexNet_DATASET_random_PD3_GPR-65_PRUNED_SEED_23.pth,1,0.0010510786895751,951.4035532431552,9.419473358197144e-05,0.1754155999993905,0.0166607911685705,14361414,121282968,65,AlexNet,PD3,0.5122146459511122,76.0,83.0,34.0
AlexNet_DATASET_random_PD3_GPR-65_PRUNED_SEED_23.pth,8,0.0001279833324432,7813.517439417482,6.782671302365077e-06,0.0315133249999722,0.0026394350833732,14361414,970263744,65,AlexNet,PD3,0.5122146459511122,76.0,83.0,43.0
AlexNet_DATASET_random_PD3_GPR-65_PRUNED_SEED_23.pth,16,6.609107151031494e-05,15130.636818982855,4.288059794863098e-06,0.0191279437500401,0.0013706423067354,14361414,1940527488,65,AlexNet,PD3,0.5122146459511122,76.0,83.0,52.0
AlexNet_DATASET_random_PD3_GPR-65_PRUNED_SEED_23.pth,32,4.064432296752929e-05,24603.68206400926,3.4600967356389862e-06,0.0124617374999797,0.0011304526210916,14361414,3881054976,65,AlexNet,PD3,0.5122146459511122,76.0,83.0,63.0
AlexNet_DATASET_random_PD3_GPR-65_PRUNED_SEED_23.pth,64,3.611195030212402e-05,27691.66416196531,3.719666284126134e-08,0.0114745296874985,0.0005002321534961,14361414,7762109952,65,AlexNet,PD3,0.5122146459511122,76.0,83.0,58.0
AlexNet_DATASET_random_PD2_GPR-45_PRUNED_SEED_23.pth,1,0.0013855249328613,721.7481088087255,0.0003133399336719,0.2042916000001132,0.0281777013561769,14715170,228380475,45,AlexNet,PD2,0.9323746990249868,76.0,68.0,23.0
AlexNet_DATASET_random_PD2_GPR-45_PRUNED_SEED_23.pth,8,0.0001415080207824,7066.737238429913,1.8226476582299447e-05,0.0384050625000149,0.0037735743193479,14715170,1827043800,45,AlexNet,PD2,0.9323746990249868,76.0,68.0,31.0
AlexNet_DATASET_random_PD2_GPR-45_PRUNED_SEED_23.pth,16,7.276285972595215e-05,13743.275123686934,5.539880434052504e-06,0.0218477249999996,0.0019028208762604,14715170,3654087600,45,AlexNet,PD2,0.9323746990249868,76.0,68.0,46.0
AlexNet_DATASET_random_PD2_GPR-45_PRUNED_SEED_23.pth,32,5.805447521209718e-05,17225.200922867418,6.189512462364218e-08,0.0177591750000021,0.0008094439837106,14715170,7308175200,45,AlexNet,PD2,0.9323746990249868,76.0,68.0,48.0
AlexNet_DATASET_random_PD2_GPR-45_PRUNED_SEED_23.pth,64,4.856313495635986e-05,20591.751354162512,7.828643005160052e-08,0.0149242374999943,0.0004985502354927,14715170,14616350400,45,AlexNet,PD2,0.9323746990249868,76.0,68.0,45.0
AlexNet_DATASET_random_PD3_GPR-55_PRUNED_SEED_23.pth,1,0.0011088780578613,901.8124156308772,0.0001152703273983,0.2222676999997347,0.0219046414816215,19900478,179470721,55,AlexNet,PD3,0.1119457045238675,67.0,75.0,16.0
AlexNet_DATASET_random_PD3_GPR-55_PRUNED_SEED_23.pth,8,0.0001620704574584,6170.155966000687,2.9985474190236127e-05,0.0394852124999975,0.0058596911839689,19900478,1435765768,55,AlexNet,PD3,0.1119457045238675,67.0,75.0,29.0
AlexNet_DATASET_random_PD3_GPR-55_PRUNED_SEED_23.pth,16,7.111815853118897e-05,14061.106483254183,1.222898941014714e-05,0.0208076062500127,0.0034291362570026,19900478,2871531536,55,AlexNet,PD3,0.1119457045238675,67.0,75.0,48.0
AlexNet_DATASET_random_PD3_GPR-55_PRUNED_SEED_23.pth,32,4.7644783973693845e-05,20988.65639840304,7.016577928164053e-08,0.0150840968749893,0.0009335998330432,19900478,5743063072,55,AlexNet,PD3,0.1119457045238675,67.0,75.0,55.0
AlexNet_DATASET_random_PD3_GPR-55_PRUNED_SEED_23.pth,64,4.245161666870117e-05,23556.22891359241,4.370436540707828e-08,0.0134518859374977,0.0004941886007099,19900478,11486126144,55,AlexNet,PD3,0.1119457045238675,67.0,75.0,51.0
AlexNet_DATASET_random_PD4_GPR-40_PRUNED_SEED_23.pth,1,0.0012730273132324,785.5291002836684,0.0002604343070811,0.2515161000000312,0.031465805503339,19797207,286691678,40,AlexNet,PD4,0.4621058476778176,68.0,60.0,5.0
AlexNet_DATASET_random_PD4_GPR-40_PRUNED_SEED_23.pth,8,0.0001367429374694,7312.99194317202,5.763752861958051e-06,0.0403475500000175,0.0037306845909637,19797207,2293533424,40,AlexNet,PD4,0.4621058476778176,68.0,60.0,28.0
AlexNet_DATASET_random_PD4_GPR-40_PRUNED_SEED_23.pth,16,8.002827110290528e-05,12495.584200665018,3.674581672096931e-06,0.0247380250000162,0.0018378907311966,19797207,4587066848,40,AlexNet,PD4,0.4621058476778176,68.0,60.0,38.0
AlexNet_DATASET_random_PD4_GPR-40_PRUNED_SEED_23.pth,32,6.478238677978515e-05,15436.294488489615,4.6983117935244215e-08,0.0200815124999964,0.0009650484632411,19797207,9174133696,40,AlexNet,PD4,0.4621058476778176,68.0,60.0,41.0
AlexNet_DATASET_random_PD4_GPR-40_PRUNED_SEED_23.pth,64,5.938262825012207e-05,16839.941738313755,3.3890718408271606e-08,0.0182524750000011,5.0926660331724433e-05,19797207,18348267392,40,AlexNet,PD4,0.4621058476778176,68.0,60.0,33.0
AlexNet_DATASET_random_PD1_GPR-60_PRUNED_SEED_23.pth,1,0.0013125986694335,761.8474887160407,0.0003642551933223,0.229010600000061,0.055934977340938,10857935,133128222,60,AlexNet,PD1,0.0063102243586141,82.0,81.0,14.0
AlexNet_DATASET_random_PD1_GPR-60_PRUNED_SEED_23.pth,8,0.0001376391403198,7265.375224491791,6.835208051610638e-06,0.0330561375000281,0.0029707761340679,10857935,1065025776,60,AlexNet,PD1,0.0063102243586141,82.0,81.0,41.0
AlexNet_DATASET_random_PD1_GPR-60_PRUNED_SEED_23.pth,16,6.54176351547241e-05,15286.397890031118,4.503455717533276e-06,0.0194839562499662,0.0014349524538608,10857935,2130051552,60,AlexNet,PD1,0.0063102243586141,82.0,81.0,51.0
AlexNet_DATASET_random_PD1_GPR-60_PRUNED_SEED_23.pth,32,4.479361877441406e-05,22324.60844559396,2.5482866357200565e-06,0.0143506343749992,0.001327321880747,10857935,4260103104,60,AlexNet,PD1,0.0063102243586141,82.0,81.0,58.0
AlexNet_DATASET_random_PD1_GPR-60_PRUNED_SEED_23.pth,64,3.829694366455079e-05,26111.74428850417,1.0682701421567705e-07,0.0117176453124993,0.0004219391827779,10857935,8520206208,60,AlexNet,PD1,0.0063102243586141,82.0,81.0,57.0
AlexNet_DATASET_random_PD2_GPR-25_PRUNED_SEED_23.pth,1,0.0011190789703369,893.5919863626214,0.0001579185701423,0.2471556000005454,0.0312779065498317,31558259,404413497,25,AlexNet,PD2,0.0859813978209054,48.0,43.0,7.0
AlexNet_DATASET_random_PD2_GPR-25_PRUNED_SEED_23.pth,8,0.0001440248756408,6943.245016184105,1.8966277692791943e-05,0.0437368249999824,0.0061610903656666,31558259,3235307976,25,AlexNet,PD2,0.0859813978209054,48.0,43.0,21.0
AlexNet_DATASET_random_PD2_GPR-25_PRUNED_SEED_23.pth,16,9.95256504058838e-05,10047.661039358369,1.2497487148118224e-07,0.0311063062499743,0.0001634593466635,31558259,6470615952,25,AlexNet,PD2,0.0859813978209054,48.0,43.0,23.0
AlexNet_DATASET_random_PD2_GPR-25_PRUNED_SEED_23.pth,32,9.215196571350097e-05,10851.640464284665,6.56919808096887e-08,0.0286113687499833,0.0008144026643998,31558259,12941231904,25,AlexNet,PD2,0.0859813978209054,48.0,43.0,15.0
AlexNet_DATASET_random_PD2_GPR-25_PRUNED_SEED_23.pth,64,7.544068450927733e-05,13255.447064203465,3.6438932896742655e-08,0.0237409515625098,0.000414521586673,31558259,25882463808,25,AlexNet,PD2,0.0859813978209054,48.0,43.0,13.0
AlexNet_DATASET_random_PD5_GPR-60_PRUNED_SEED_23.pth,1,0.0011545895294189,866.1086685094541,0.0001593119834289,0.1748937000006437,0.0239795416948424,14053530,134053293,60,AlexNet,PD5,0.724478247283482,77.0,81.0,34.0
AlexNet_DATASET_random_PD5_GPR-60_PRUNED_SEED_23.pth,8,0.0001631886596679,6127.876790180436,2.0135378915672865e-05,0.0385723375000059,0.0037072924430658,14053530,1072426344,60,AlexNet,PD5,0.724478247283482,77.0,81.0,31.0
AlexNet_DATASET_random_PD5_GPR-60_PRUNED_SEED_23.pth,16,7.302689361572265e-05,13693.585342163597,1.156086662864475e-05,0.0214505687500117,0.002885426095754,14053530,2144852688,60,AlexNet,PD5,0.724478247283482,77.0,81.0,47.0
AlexNet_DATASET_random_PD5_GPR-60_PRUNED_SEED_23.pth,32,4.6226386260986325e-05,21632.666554425643,1.2250971526572285e-06,0.0141246562500018,0.0008501952181216,14053530,4289705376,60,AlexNet,PD5,0.724478247283482,77.0,81.0,58.0
AlexNet_DATASET_random_PD5_GPR-60_PRUNED_SEED_23.pth,64,3.674600429534912e-05,27213.84322394389,6.574601163447102e-08,0.0114129406249965,0.0004634332805502,14053530,8579410752,60,AlexNet,PD5,0.724478247283482,77.0,81.0,58.0
AlexNet_DATASET_random_PD5_GPR-10_PRUNED_SEED_23.pth,1,0.0011285857391357,886.0647138477827,0.0001939718443181,0.2804928000001237,0.0343864355042941,51349312,585277284,10,AlexNet,PD5,0.3429986060018618,16.0,18.0,-5.0
